case_id|case_date|case_type|accountno|accounttype|bankcode|bankname|entity_type|id_type|card_id|ref_code|title|name|midname|surname|eng_name|eng_midname|eng_surname|birth_date|nationality|note|other|rank|pol_name|pol_surname|pol_job_title|pol_org|pol_tel|aml_report_date
6751870991|2025-04-03|3|2392106547|bank|004|KBNK|PERSON|National ID|5554837493510|VW93429542|นาย|ศิริพร|ลา|ศรีสุข|roger|mid|nottingham|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
6302682806|2025-04-03|3|9024398377|bank|004|KBNK|PERSON|National ID|9777667136758|VW25454677|นาย|ธนา|ลา|ทรงธรรม|tim|mid|noble|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
3892102621|2025-04-03|3|9335129598|bank|004|KBNK|PERSON|National ID|6411352558560|VW56723474|นาย|สมชาย|ลา|รัตนากร|moo|mid|nutter|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
2726819883|2025-04-03|3|7596085509|bank|004|KBNK|PERSON|National ID|5227618631921|VW45391933|นาย|อาทิตย์|ลา|ควรมี|sean|mid|norris|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
3934685267|2025-04-03|3|8253192982|bank|004|KBNK|PERSON|National ID|2365255935160|VW18952996|นาย|จูจิ|ลา|รัตนากร|jeff|mid|notley|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
2437129298|2025-04-03|3|5353352473|bank|004|KBNK|PERSON|National ID|8366269794164|VW14289081|นาย|อุษา|ลา|อุดมผล|mun|mid|neville|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
8147614413|2025-04-03|3|5027462509|bank|004|KBNK|PERSON|National ID|7871749613794|VW56493845|นาย|ชัยยันต์|ลา|รัตนากร|mickey|mid|noble|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
4116087539|2025-04-03|3|5967695802|bank|004|KBNK|PERSON|National ID|7124784111260|VW81690585|นาย|นิดหน่อย|ลา|ธรรมรักษ์|john|mid|norwood|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
9224138507|2025-04-03|3|8474934912|bank|004|KBNK|PERSON|National ID|1895133234393|VW59559759|นาย|ปรางค์ทอง|ลา|ใจดี|jason|mid|nicholson|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
6851408342|2025-04-03|3|1900659798|bank|004|KBNK|PERSON|National ID|9855911833367|VW91215442|นาย|อมร|ลา|นาคาพันธ์|terry|mid|notley|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
3584457845|2025-04-03|3|9717929531|bank|004|KBNK|PERSON|National ID|8982671395369|VW27400867|นาย|ประจักษ์|ลา|สุขสมบัติ|ron|mid|nee|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
9937276265|2025-04-03|3|0736338063|bank|004|KBNK|PERSON|National ID|5836162373766|VW78961932|นาย|ศิริพร|ลา|เจริญกิจ|man|mid|nega|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
4664566416|2025-04-03|3|1108384942|bank|004|KBNK|PERSON|National ID|6443491885529|VW81835583|นาย|สายฝน|ลา|ควรมี|mason|mid|neville|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
2959471869|2025-04-03|3|1465894455|bank|004|KBNK|PERSON|National ID|3669859493773|VW00441141|นาย|ธนา|ลา|บวรธรรม|mickey|mid|nega|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
1826378945|2025-04-03|3|7323892479|bank|004|KBNK|PERSON|National ID|5993692824541|VW73169969|นาย|ศิริพร|ลา|อนันตกาล|rick|mid|nutter|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
5125024307|2025-04-03|3|1222831191|bank|004|KBNK|PERSON|National ID|9178922382468|VW07066165|นาย|อาทิตย์|ลา|ศรีสุข|mun|mid|norfolk|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
8746129099|2025-04-03|3|9914170857|bank|004|KBNK|PERSON|National ID|8945123348252|VW93520284|นาย|อมร|ลา|ควรมี|stan|mid|nelson|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
4706735007|2025-04-03|3|0170293366|bank|004|KBNK|PERSON|National ID|2122312537449|VW80171345|นาย|อุษา|ลา|ภักดีศรี|mode|mid|norrell|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
7528093398|2025-04-03|3|6187737960|bank|004|KBNK|PERSON|National ID|7184299876624|VW76536646|นาย|ธนา|ลา|พิพัฒน์|man|mid|norbury|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
5509733448|2025-04-03|3|3095849107|bank|004|KBNK|PERSON|National ID|7425687463775|VW63675554|นาย|กิ่งแก้ว|ลา|รุ่งเรือง|man|mid|north|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
0100361865|2025-04-03|3|6569471599|bank|004|KBNK|PERSON|National ID|6242953493236|VW16382392|นาย|นิดหน่อย|ลา|ใจดี|mark|mid|norrell|2002-10-21|TH|Important case|119/99|ร.ต.อ.|สมชัย|แสนใจดี|รอง. สว.(สอบสวน)|สภ.กระทุ่มแบน บก.จ.สมุทรสาคร ภ.7|878889999|2025-03-31
